"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.884338512551039,6.25305111752823,5.26066665304825,4.13739124312997,7.07207108382136,3.11056341975927,0.0605472992174327,4.10100795794278
"2",5.69177783327177,1.74446677556261,8.58287825947627,8.17411619238555,6.48547205608338,9.66536203632131,6.76334969000891,0.547463875263929
"3",0.211108895018697,4.44362124428153,7.1240461198613,6.0834185173735,2.89535489166155,2.24569057114422,1.64478348568082,5.37482816027477
"4",5.80105183646083,6.36877990094945,6.19623825186864,7.38786088069901,6.27656263532117,0.986629752442241,7.89717125706375,1.98831391986459
"5",4.4817341119051,2.12377922376618,1.60075210733339,8.42987059149891,8.13772115856409,4.12989695556462,7.35189059749246,4.91804592078552
"6",4.44327550008893,4.66665632789955,1.48614975623786,3.91778392484412,3.04813992930576,9.89440162666142,4.03859774349257,9.84227249165997
"7",6.4269737736322,8.341102397535,8.41027704067528,4.0265771211125,9.14628051919863,4.98701376840472,3.00826658029109,6.55371746746823
"8",0.921475968789309,4.22855679877102,2.57770911091939,9.45131883025169,6.89216112019494,1.27059603342786,5.47905597835779,6.53076770016924
"9",0.716581896413118,7.00215912191197,6.38233994599432,0.885277313645929,0.781338403467089,4.86200838116929,1.6195420967415,8.09891218086705
"10",8.27549084555358,2.78069788822904,5.2943364600651,8.79993939772248,9.94790766853839,9.59522258490324,3.14375391928479,7.6357724936679
"11",6.01405138382688,9.38035251805559,1.24726064037532,3.24575239093974,5.10286208475009,1.40873279422522,4.08721367362887,8.47690445603803
"12",0.56820509955287,2.20351725351065,7.39524886710569,3.09832487720996,8.79503594478592,2.1449717041105,1.04017186677083,0.621796208433807
"13",2.22656111698598,9.2664053523913,1.19911211775616,0.887372174765915,0.057648045476526,0.0593716860748827,6.8803919875063,7.21246545435861
"14",6.69282402843237,2.52787985606119,9.22246174653992,7.85309514496475,9.31216353084892,1.1649198224768,8.86902754427865,3.37873226031661
"15",8.48841643426567,4.38796107657254,1.52210244908929,6.53655909467489,2.46914277551696,2.40802779560909,2.62671799166128,3.40667740674689
"16",8.5590592562221,7.95863148756325,0.446463443804532,3.16124085336924,5.07539136102423,6.72492725076154,7.33572524739429,2.32990578748286
